SiteID,site,veg_type,direction,gcc_value,transition_10,transition_25,transition_50
US-Cwt,coweeta,DB,rising,gcc_90,4/22/14,4/27/14,5/3/14
US-Cwt,coweeta,DB,rising,gcc_90,4/9/15,4/21/15,5/2/15
US-Cwt,coweeta,DB,rising,gcc_90,4/23/16,4/26/16,5/1/16
US-Cwt,coweeta,DB,falling,gcc_90,10/19/15,10/16/15,10/8/15
US-Cwt,coweeta,DB,falling,gcc_90,10/22/14,10/18/14,10/9/14
US-Cwt,coweeta,DB,falling,gcc_90,10/21/13,10/16/13,10/6/13
US-Cwt,coweeta,DB,falling,gcc_90,10/14/12,10/11/12,9/21/12
US-Cwt,coweeta,DB,falling,gcc_90,10/14/11,10/8/11,9/30/11
US-Cwt,coweeta,DB,rising,gcc_90,4/11/17,4/17/17,4/24/17
US-Cwt,coweeta,DB,rising,gcc_90,4/21/18,4/26/18,5/2/18
US-Cwt,coweeta,DB,rising,gcc_90,4/12/19,4/18/19,4/25/19
US-Cwt,coweeta,DB,rising,gcc_90,4/12/20,4/20/20,4/28/20
US-Cwt,coweeta,DB,rising,gcc_90,4/15/21,4/22/21,4/30/21
US-Cwt,coweeta,DB,rising,gcc_90,4/17/22,4/22/22,4/29/22
US-Cwt,coweeta,DB,rising,gcc_90,4/8/23,4/15/23,4/25/23
US-Cwt,coweeta,DB,falling,gcc_90,10/28/23,10/25/23,10/18/23
US-Cwt,coweeta,DB,falling,gcc_90,10/14/22,10/10/22,10/1/22
US-Cwt,coweeta,DB,falling,gcc_90,10/25/21,10/20/21,10/5/21
US-Cwt,coweeta,DB,falling,gcc_90,10/17/20,10/12/20,10/1/20
US-Cwt,coweeta,DB,falling,gcc_90,10/25/19,10/22/19,10/14/19
US-Cwt,coweeta,DB,falling,gcc_90,10/29/18,10/26/18,10/19/18
US-Cwt,coweeta,DB,falling,gcc_90,10/23/17,10/15/17,9/18/17
US-Cwt,coweeta,DB,falling,gcc_90,10/24/16,10/19/16,10/10/16
US-Dk2,dukehw,DB,rising,gcc_90,4/1/14,4/4/14,4/11/14
US-Dk2,dukehw,DB,rising,gcc_90,3/29/15,4/3/15,4/9/15
US-Dk2,dukehw,DB,rising,gcc_90,3/11/16,3/16/16,3/23/16
US-Dk2,dukehw,DB,rising,gcc_90,3/23/17,3/28/17,4/4/17
US-Dk2,dukehw,DB,rising,gcc_90,3/31/18,4/5/18,4/13/18
US-Dk2,dukehw,DB,rising,gcc_90,3/27/19,4/1/19,4/7/19
US-Dk2,dukehw,DB,rising,gcc_90,3/15/20,3/20/20,3/28/20
US-Dk2,dukehw,DB,rising,gcc_90,3/19/21,3/27/21,4/5/21
US-Dk2,dukehw,DB,rising,gcc_90,3/18/22,3/25/22,4/5/22
US-Dk2,dukehw,DB,rising,gcc_90,3/11/23,3/21/23,3/28/23
US-Dk2,dukehw,DB,falling,gcc_90,10/25/23,10/19/23,10/8/23
US-Dk2,dukehw,DB,falling,gcc_90,10/13/22,10/9/22,9/30/22
US-Dk2,dukehw,DB,falling,gcc_90,11/1/21,10/25/21,10/3/21
US-Dk2,dukehw,DB,falling,gcc_90,10/22/20,10/15/20,9/28/20
US-Dk2,dukehw,DB,falling,gcc_90,11/4/19,10/23/19,9/21/19
US-Dk2,dukehw,DB,falling,gcc_90,10/28/18,10/22/18,10/10/18
US-Dk2,dukehw,DB,falling,gcc_90,10/31/17,10/25/17,10/6/17
US-Dk2,dukehw,DB,falling,gcc_90,10/30/16,10/24/16,10/15/16
US-Dk2,dukehw,DB,falling,gcc_90,10/26/15,10/19/15,10/8/15
US-Dk2,dukehw,DB,falling,gcc_90,10/26/14,10/20/14,10/8/14
US-Dk2,dukehw,DB,falling,gcc_90,10/25/13,10/19/13,10/10/13
US-Tw4,eastend,WL,rising,gcc_90,7/31/14,8/12/14,8/30/14
US-Tw4,eastend,WL,rising,gcc_90,4/7/15,4/9/15,4/14/15
US-Tw4,eastend,WL,rising,gcc_90,3/17/16,4/2/16,4/20/16
US-Tw4,eastend,WL,falling,gcc_90,11/27/15,11/21/15,11/2/15
US-Tw4,eastend,WL,falling,gcc_90,12/23/14,12/16/14,12/7/14
US-Tw4,eastend,WL,rising,gcc_90,4/22/19,5/2/19,5/18/19
US-Tw4,eastend,WL,rising,gcc_90,4/22/20,5/2/20,5/11/20
US-Tw4,eastend,WL,falling,gcc_90,11/8/19,11/5/19,10/23/19
US-Tw4,eastend,WL,falling,gcc_90,11/19/18,11/14/18,11/6/18
US-Tw4,eastend,WL,rising,gcc_90,5/2/21,5/10/21,5/20/21
US-Tw4,eastend,WL,rising,gcc_90,5/11/22,5/19/22,6/2/22
US-Tw4,eastend,WL,rising,gcc_90,5/17/23,5/26/23,6/12/23
US-Tw4,eastend,WL,falling,gcc_90,11/24/23,11/15/23,11/3/23
US-Tw4,eastend,WL,falling,gcc_90,11/5/22,10/28/22,10/16/22
US-Tw4,eastend,WL,falling,gcc_90,11/7/21,10/26/21,9/22/21
US-Tw4,eastend,WL,falling,gcc_90,8/15/20,8/9/20,7/30/20
US-Tw4,eastend2,WL,rising,gcc_90,4/9/17,5/4/17,5/29/17
US-Tw4,eastend2,WL,rising,gcc_90,5/8/18,5/20/18,6/5/18
US-Tw4,eastend2,WL,falling,gcc_90,10/29/17,10/22/17,10/11/17
US-Dmg,gilberttract,WL,rising,gcc_90,4/17/22,4/28/22,5/21/22
US-Dmg,gilberttract,WL,rising,gcc_90,4/27/23,5/7/23,5/19/23
US-Dmg,gilberttract,WL,falling,gcc_90,11/21/23,11/11/23,10/28/23
US-Dmg,gilberttract,WL,falling,gcc_90,11/10/22,10/31/22,10/12/22
US-Dmg,gilberttract,WL,falling,gcc_90,12/1/21,11/23/21,11/4/21
US-Hsm,hillslough,WL,falling,gcc_90,10/10/21,10/6/21,9/29/21
US-HB3,hobcawclearcutlongleaf,EN,rising,gcc_90,4/9/19,4/18/19,5/3/19
US-HB3,hobcawclearcutlongleaf,EN,rising,gcc_90,3/25/20,4/15/20,5/16/20
US-HB3,hobcawclearcutlongleaf,EN,rising,gcc_90,4/28/21,5/19/21,6/12/21
US-HB3,hobcawclearcutlongleaf,EN,rising,gcc_90,3/29/22,4/17/22,5/1/22
US-HB3,hobcawclearcutlongleaf,EN,rising,gcc_90,4/5/23,4/14/23,4/28/23
US-HB3,hobcawclearcutlongleaf,EN,falling,gcc_90,11/21/22,10/20/22,10/5/22
US-HB3,hobcawclearcutlongleaf,EN,falling,gcc_90,10/27/21,10/18/21,9/28/21
US-HB3,hobcawclearcutlongleaf,EN,falling,gcc_90,11/21/20,11/9/20,10/23/20
US-HB3,hobcawclearcutlongleaf,EN,falling,gcc_90,11/10/19,11/2/19,10/10/19
US-HB2,hobcawmaturelongleaf,EN,rising,gcc_90,5/19/20,5/30/20,6/28/20
US-HB2,hobcawmaturelongleaf,EN,rising,gcc_90,5/28/21,6/10/21,6/27/21
US-HB2,hobcawmaturelongleaf,EN,rising,gcc_90,4/8/22,5/12/22,6/7/22
US-HB2,hobcawmaturelongleaf,EN,rising,gcc_90,6/4/23,6/13/23,7/3/23
US-HB2,hobcawmaturelongleaf,EN,falling,gcc_90,11/2/23,10/23/23,10/10/23
US-HB2,hobcawmaturelongleaf,EN,falling,gcc_90,10/23/22,10/19/22,10/11/22
US-HB2,hobcawmaturelongleaf,EN,falling,gcc_90,11/16/21,11/7/21,10/25/21
US-HB2,hobcawmaturelongleaf,EN,falling,gcc_90,12/10/20,11/29/20,10/17/20
US-HB2,hobcawmaturelongleaf,EN,falling,gcc_90,11/24/19,11/16/19,11/5/19
US-HRA,humnokericea,AG,rising,gcc_90,5/26/16,5/31/16,6/12/16
US-HRA,humnokericea,AG,rising,gcc_90,5/22/17,5/28/17,6/1/17
US-HRA,humnokericea,AG,rising,gcc_90,5/16/18,5/23/18,6/3/18
US-HRA,humnokericea,AG,rising,gcc_90,6/11/19,6/16/19,6/21/19
US-HRA,humnokericea,AG,rising,gcc_90,5/18/20,5/23/20,5/30/20
US-HRA,humnokericea,AG,rising,gcc_90,5/27/21,6/20/21,6/26/21
US-HRA,humnokericea,AG,rising,gcc_90,5/18/22,5/27/22,6/6/22
US-HRA,humnokericea,AG,rising,gcc_90,5/17/23,5/28/23,6/4/23
US-HRA,humnokericea,AG,falling,gcc_90,9/24/23,8/21/23,8/14/23
US-HRA,humnokericea,AG,falling,gcc_90,9/5/22,8/27/22,8/14/22
US-HRA,humnokericea,AG,falling,gcc_90,9/23/21,9/13/21,9/1/21
US-HRA,humnokericea,AG,falling,gcc_90,8/17/20,8/12/20,7/22/20
US-HRA,humnokericea,AG,falling,gcc_90,9/11/19,9/7/19,8/29/19
US-HRA,humnokericea,AG,falling,gcc_90,9/17/18,8/30/18,8/20/18
US-HRA,humnokericea,AG,falling,gcc_90,8/24/17,8/18/17,8/8/17
US-HRA,humnokericea,AG,falling,gcc_90,9/26/16,9/5/16,8/26/16
US-HRA,humnokericea,AG,falling,gcc_90,9/17/15,9/11/15,8/11/15
US-HRC,humnokericec,AG,rising,gcc_90,5/26/16,6/1/16,6/12/16
US-HRC,humnokericec,AG,rising,gcc_90,5/18/17,5/24/17,5/30/17
US-HRC,humnokericec,AG,rising,gcc_90,5/23/18,6/1/18,6/8/18
US-HRC,humnokericec,AG,rising,gcc_90,6/7/19,6/12/19,6/20/19
US-HRC,humnokericec,AG,rising,gcc_90,5/18/20,5/27/20,6/6/20
US-HRC,humnokericec,AG,rising,gcc_90,6/24/21,6/28/21,7/4/21
US-HRC,humnokericec,AG,rising,gcc_90,5/17/22,5/22/22,5/29/22
US-HRC,humnokericec,AG,rising,gcc_90,5/25/23,5/31/23,6/6/23
US-HRC,humnokericec,AG,falling,gcc_90,8/31/23,8/26/23,8/17/23
US-HRC,humnokericec,AG,falling,gcc_90,8/25/22,8/21/22,8/14/22
US-HRC,humnokericec,AG,falling,gcc_90,9/23/21,9/17/21,9/1/21
US-HRC,humnokericec,AG,falling,gcc_90,11/4/20,8/19/20,8/6/20
US-HRC,humnokericec,AG,falling,gcc_90,9/14/19,9/9/19,9/1/19
US-HRC,humnokericec,AG,falling,gcc_90,9/5/18,8/28/18,8/17/18
US-HRC,humnokericec,AG,falling,gcc_90,8/26/17,8/18/17,8/5/17
US-HRC,humnokericec,AG,falling,gcc_90,9/7/16,9/1/16,8/23/16
US-HRC,humnokericec,AG,falling,gcc_90,8/15/15,8/10/15,7/23/15
US-Wjs,junipersavannah,GR,falling,gcc_90,9/26/22,9/9/22,8/31/22
US-Wjs,junipersavannah,SH,rising,gcc_90,3/13/21,3/29/21,4/8/21
US-Wjs,junipersavannah,SH,falling,gcc_90,10/7/23,7/15/23,7/5/23
US-KFS,kansas,GR,rising,gcc_90,4/6/13,4/17/13,5/1/13
US-KFS,kansas,GR,rising,gcc_90,4/10/14,4/18/14,4/29/14
US-KFS,kansas,GR,rising,gcc_90,3/30/15,4/7/15,4/21/15
US-KFS,kansas,GR,rising,gcc_90,3/17/16,4/9/16,4/21/16
US-KFS,kansas,GR,rising,gcc_90,3/31/17,4/10/17,4/19/17
US-KFS,kansas,GR,rising,gcc_90,4/18/18,4/27/18,5/6/18
US-KFS,kansas,GR,rising,gcc_90,4/4/19,4/14/19,4/23/19
US-KFS,kansas,GR,falling,gcc_90,11/3/19,10/18/19,9/11/19
US-KFS,kansas,GR,falling,gcc_90,10/18/18,10/4/18,9/11/18
US-KFS,kansas,GR,falling,gcc_90,10/28/17,10/15/17,9/24/17
US-KFS,kansas,GR,falling,gcc_90,10/22/16,10/7/16,9/17/16
US-KFS,kansas,GR,falling,gcc_90,10/15/15,10/7/15,9/27/15
US-KFS,kansas,GR,falling,gcc_90,10/12/14,9/29/14,8/25/14
US-KFS,kansas,GR,falling,gcc_90,10/14/13,10/2/13,9/1/13
US-KFS,kansas,GR,rising,gcc_90,4/7/22,4/20/22,5/3/22
US-KFS,kansas,GR,rising,gcc_90,4/1/23,4/11/23,4/28/23
US-KFS,kansas,GR,falling,gcc_90,10/11/23,9/26/23,8/26/23
US-KFS,kansas,GR,falling,gcc_90,10/3/22,9/25/22,9/11/22
US-Wkg,kendall,GR,rising,gcc_90,7/23/14,7/28/14,8/5/14
US-Wkg,kendall,GR,rising,gcc_90,6/30/15,7/4/15,7/14/15
US-Wkg,kendall,GR,rising,gcc_90,7/5/16,7/11/16,7/24/16
US-Wkg,kendall,GR,rising,gcc_90,7/7/17,7/11/17,7/18/17
US-Wkg,kendall,GR,rising,gcc_90,7/18/18,8/3/18,8/19/18
US-Wkg,kendall,GR,rising,gcc_90,7/20/21,7/25/21,8/2/21
US-Wkg,kendall,GR,rising,gcc_90,6/28/22,7/1/22,7/12/22
US-Wkg,kendall,GR,falling,gcc_90,10/19/22,9/27/22,8/31/22
US-Wkg,kendall,GR,falling,gcc_90,10/16/21,9/19/21,9/10/21
US-Wkg,kendall,GR,falling,gcc_90,10/16/20,9/12/20,5/26/20
US-Wkg,kendall,GR,falling,gcc_90,9/29/17,9/19/17,9/4/17
US-Wkg,kendall,GR,falling,gcc_90,10/20/16,10/9/16,9/25/16
US-Wkg,kendall,GR,falling,gcc_90,11/8/15,10/12/15,10/3/15
US-Wkg,kendall,GR,falling,gcc_90,11/11/14,11/3/14,10/9/14
US-Wkg,kendall,GR,falling,gcc_90,10/8/13,9/28/13,8/23/13
US-Wkg,kendall,SH,rising,gcc_90,7/9/13,7/15/13,7/22/13
US-Wkg,kendall,SH,rising,gcc_90,7/10/14,7/17/14,7/25/14
US-Wkg,kendall,SH,rising,gcc_90,3/22/15,3/27/15,4/3/15
US-Wkg,kendall,SH,rising,gcc_90,6/28/16,7/3/16,7/9/16
US-Wkg,kendall,SH,rising,gcc_90,3/21/17,4/7/17,7/7/17
US-Wkg,kendall,SH,rising,gcc_90,4/5/18,4/12/18,7/11/18
US-Wkg,kendall,SH,rising,gcc_90,4/5/19,4/16/19,4/25/19
US-Wkg,kendall,SH,rising,gcc_90,3/25/20,4/17/20,4/25/20
US-Wkg,kendall,SH,rising,gcc_90,7/12/21,7/18/21,7/23/21
US-Wkg,kendall,SH,rising,gcc_90,4/30/22,6/25/22,7/3/22
US-Wkg,kendall,SH,rising,gcc_90,4/10/23,4/16/23,4/22/23
US-Wkg,kendall,SH,falling,gcc_90,11/18/23,11/5/23,10/8/23
US-Wkg,kendall,SH,falling,gcc_90,11/24/22,11/6/22,10/21/22
US-Wkg,kendall,SH,falling,gcc_90,11/22/21,11/6/21,10/9/21
US-Wkg,kendall,SH,falling,gcc_90,11/16/20,10/19/20,9/16/20
US-Wkg,kendall,SH,falling,gcc_90,11/17/19,11/4/19,10/16/19
US-Wkg,kendall,SH,falling,gcc_90,12/3/18,11/13/18,10/24/18
US-Wkg,kendall,SH,falling,gcc_90,10/23/17,10/8/17,9/18/17
US-Wkg,kendall,SH,falling,gcc_90,11/10/16,11/2/16,10/10/16
US-Wkg,kendall,SH,falling,gcc_90,11/11/15,10/30/15,10/8/15
US-Wkg,kendall,SH,falling,gcc_90,11/28/14,11/13/14,10/31/14
US-Wkg,kendall,SH,falling,gcc_90,11/24/13,10/26/13,10/4/13
US-Wkg,kendall,SH,falling,gcc_90,11/27/12,11/13/12,10/28/12
US-Whs,luckyhills,SH,rising,gcc_90,7/3/13,7/9/13,7/14/13
US-Whs,luckyhills,SH,rising,gcc_90,7/8/14,7/12/14,7/21/14
US-Whs,luckyhills,SH,falling,gcc_90,12/5/14,11/23/14,11/9/14
US-Whs,luckyhills,SH,falling,gcc_90,10/30/13,10/17/13,9/30/13
US-Whs,luckyhills,SH,rising,gcc_90,6/29/16,7/2/16,7/8/16
US-Whs,luckyhills,SH,rising,gcc_90,7/11/17,7/16/17,7/23/17
US-Whs,luckyhills,SH,falling,gcc_90,10/29/17,10/7/17,9/13/17
US-Whs,luckyhills,SH,falling,gcc_90,11/7/16,10/24/16,10/10/16
US-Whs,luckyhills,SH,rising,gcc_90,7/24/19,7/30/19,8/8/19
US-Whs,luckyhills,SH,rising,gcc_90,7/13/21,7/17/21,7/23/21
US-Whs,luckyhills,SH,rising,gcc_90,6/27/22,7/1/22,7/9/22
US-Whs,luckyhills,SH,falling,gcc_90,11/18/22,11/2/22,10/16/22
US-Whs,luckyhills,SH,falling,gcc_90,11/4/21,10/18/21,9/17/21
US-Whs,luckyhills,SH,falling,gcc_90,10/21/20,10/6/20,9/8/20
US-Myb,mayberry,WL,rising,gcc_90,7/7/11,7/17/11,7/30/11
US-Myb,mayberry,WL,rising,gcc_90,3/15/12,3/24/12,4/5/12
US-Myb,mayberry,WL,rising,gcc_90,3/31/15,4/11/15,5/1/15
US-Myb,mayberry,WL,rising,gcc_90,3/13/17,3/18/17,3/27/17
US-Myb,mayberry,WL,rising,gcc_90,8/1/17,8/5/17,8/14/17
US-Myb,mayberry,WL,rising,gcc_90,3/27/18,4/7/18,4/23/18
US-Myb,mayberry,WL,rising,gcc_90,3/23/19,3/31/19,4/13/19
US-Myb,mayberry,WL,rising,gcc_90,4/29/20,5/8/20,5/26/20
US-Myb,mayberry,WL,rising,gcc_90,4/24/21,5/10/21,5/21/21
US-Myb,mayberry,WL,falling,gcc_90,10/7/21,9/28/21,9/19/21
US-Myb,mayberry,WL,falling,gcc_90,12/24/20,12/17/20,12/10/20
US-Myb,mayberry,WL,falling,gcc_90,11/18/19,11/10/19,9/29/19
US-Myb,mayberry,WL,falling,gcc_90,12/2/18,11/25/18,10/26/18
US-Myb,mayberry,WL,falling,gcc_90,1/6/18,1/3/18,12/27/17
US-Myb,mayberry,WL,falling,gcc_90,6/16/17,5/30/17,5/15/17
US-Myb,mayberry,WL,falling,gcc_90,7/22/16,6/26/16,5/20/16
US-Myb,mayberry,WL,falling,gcc_90,12/17/12,12/8/12,11/28/12
US-Myb,mayberry,WL,falling,gcc_90,1/5/12,12/27/11,12/18/11
US-Myb,mayberry,WL,rising,gcc_90,4/6/22,4/16/22,5/6/22
US-Myb,mayberry,WL,rising,gcc_90,3/30/23,5/11/23,5/27/23
US-Myb,mayberry,WL,falling,gcc_90,11/15/23,11/8/23,10/26/23
US-Myb,mayberry,WL,falling,gcc_90,10/27/22,9/17/22,9/6/22
US-MOz,missouriozarks,DB,rising,gcc_90,3/21/12,3/26/12,4/2/12
US-MOz,missouriozarks,DB,rising,gcc_90,4/21/13,4/29/13,5/5/13
US-MOz,missouriozarks,DB,rising,gcc_90,4/24/14,4/29/14,5/6/14
US-MOz,missouriozarks,DB,rising,gcc_90,4/13/15,4/20/15,4/28/15
US-MOz,missouriozarks,DB,rising,gcc_90,4/14/16,4/18/16,4/24/16
US-MOz,missouriozarks,DB,rising,gcc_90,4/11/17,4/15/17,4/22/17
US-MOz,missouriozarks,DB,rising,gcc_90,4/26/18,5/1/18,5/7/18
US-MOz,missouriozarks,DB,rising,gcc_90,4/13/19,4/19/19,4/27/19
US-MOz,missouriozarks,DB,rising,gcc_90,4/17/20,4/23/20,4/30/20
US-MOz,missouriozarks,DB,rising,gcc_90,4/15/21,4/22/21,4/30/21
US-MOz,missouriozarks,DB,rising,gcc_90,4/26/22,5/1/22,5/6/22
US-MOz,missouriozarks,DB,rising,gcc_90,4/11/23,4/20/23,4/30/23
US-MOz,missouriozarks,DB,falling,gcc_90,10/28/23,10/23/23,10/15/23
US-MOz,missouriozarks,DB,falling,gcc_90,10/19/22,10/15/22,10/6/22
US-MOz,missouriozarks,DB,falling,gcc_90,11/4/21,11/1/21,10/22/21
US-MOz,missouriozarks,DB,falling,gcc_90,10/16/20,10/11/20,9/29/20
US-MOz,missouriozarks,DB,falling,gcc_90,10/26/19,10/22/19,10/10/19
US-MOz,missouriozarks,DB,falling,gcc_90,10/27/18,10/24/18,10/18/18
US-MOz,missouriozarks,DB,falling,gcc_90,10/31/17,10/27/17,10/19/17
US-MOz,missouriozarks,DB,falling,gcc_90,10/28/16,10/21/16,10/10/16
US-MOz,missouriozarks,DB,falling,gcc_90,10/18/15,10/14/15,10/5/15
